번호,대화A,대화B,,,,,,,,,,,,,,,
1,가: 어디를 그렇게 서둘러 가니?,나: 비행기 시간이 한 시간밖에 안 남아서 빨리 공항에 가야 돼.,,,,,,,,,,,,,,,
2,가: 이 기차는 어디로 가나요?,나: 서울에서 부산까지 갑니다.,,,,,,,,,,,,,,,
3,가: 이번 주 토요일에 혹시 시간 괜찮으면 영화 보러 안 갈래?,나: 내가 그날은 친한 친구의 집들이를 가기로 했어. 다음 주는 어때?,,,,,,,,,,,,,,,
4,가: 저녁 언제쯤 먹을 겁니까?,나: 지금 식당으로 갑시다.,,,,,,,,,,,,,,,
5,"가: 엄마, 저는 가수가 되고 싶은데 꼭 대학에 가야 해요?",나: 우선 대학에 가고 그다음에 하고 싶은 일을 해도 늦지 않아.,,,,,,,,,,,,,,,
6,가: 다들 왔는데 유민이는 왜 아직 안 오지?,나: 아직 연락이 안 갔나 보네요.,,,,,,,,,,,,,,,
7,가: 선생님 병환은 어떠세요?,나: 어제 저녁에 아주 심각한 상황까지 갔는데 이제 좀 나아졌어요.,,,,,,,,,,,,,,,
8,가: 아들이 공부를 잘 한다면서요?,나: 아니에요. 반에서 중간밖에 안 가요.,,,,,,,,,,,,,,,
9,가: 내년 휴가는 어디로 가지?,나: 뭘 벌써부터 고민해. 그때 가서 생각하면 되지.,,,,,,,,,,,,,,,
10,가: 김 선생님은 어렸을 때부터 매일 책 읽는 게 습관이 돼서 아직도 매일 책을 읽으신대.,나: 어려서 든 습관이 평생을 간다잖아.,,,,,,,,,,,,,,,
11,가: 이번 휴가는 어디로 갈 생각이야?,나: 제주도로 갈까 해.,,,,,,,,,,,,,,,
12,가: 화장실이 어디에 있습니까?,나: 2층에 있는데 2층으로 가는 계단은 저쪽에 있습니다.,,,,,,,,,,,,,,,
13,가: 내 가방이 어디 갔지?,나: 잘 찾아봐. 교실에 두고 온 거 아니야?,,,,,,,,,,,,,,,
14,가: 팀 분위기가 안 좋은데 팀원들 사이에 무슨 일 있었어?,나: 프로젝트가 막판으로 가면서 서로 사이가 안 좋아졌어.,,,,,,,,,,,,,,,
15,가: 여기 공장이 세워지면 매연과 폐수 때문에 주민들에게 해가 갈 수 있어요.,"나: 그럼, 다른 지역을 한번 찾아봅시다.",,,,,,,,,,,,,,,
16,가: 이 과장 큰 수술을 했다면서요?,나: 작년부터 몸 여기저기가 붓는다더니 한쪽 신장에 무리가 갔나 봐요.,,,,,,,,,,,,,,,
17,가: 아이들이 셋이나 되시니 힘드시겠어요.,나: 아이들이 어렸을 때는 잔손이 많이 갔는데 이제 다 커서 제가 신경 쓸 일이 별로 없어요.,,,,,,,,,,,,,,,
18,가: 다림질한 지 얼마 안 됐는데 왜 벌써 치마에 주름이 갔니?,나: 잠깐 앉았다 일어났더니 이렇게 됐어요.,,,,,,,,,,,,,,,
19,가: 사람들이 김 대리가 거짓말을 많이 한다는데 사실일까?,나: 그래서 그런지 나도 그 사람 말은 믿음이 안 가.,,,,,,,,,,,,,,,
20,가: 오늘 하루 종일 뭐 했어요?,나: 그동안 바빠서 못했던 집안일을 하다 보니 하루가 다 갔네요.,,,,,,,,,,,,,,,
21,가: 시계가 고장 났는지 갑자기 안 가네요.,나: 어디 봅시다. 건전지를 갈아야 되겠군요.,,,,,,,,,,,,,,,
22,가: 이 생선은 물이 갔네요.,나: 그래요? 다른 싱싱한 걸로 골라 보세요.,,,,,,,,,,,,,,,
23,"가: 엄마, 이 옷은 소매 부분의 때가 그대로예요.",나: 세탁기에 빨아서 때가 잘 안 갔나 보구나. 다시 빨아야겠다.,,,,,,,,,,,,,,,
24,가: 여자 친구하고 어떻게 만났어요?,나: 신입생 환영회에서 여자 친구를 처음 보고 제가 첫눈에 갔어요.,,,,,,,,,,,,,,,
25,가: 매달 들어오는 돈보다 나가는 돈이 더 많아.,나: 이렇게 계속 가면 저축한 돈도 다 떨어질 텐데 큰일이네.,,,,,,,,,,,,,,,
26,"가: 선생님, 가족은 어떻게 되십니까?",나: 아내가 먼저 가는 바람에 3년째 혼자 살고 있습니다.,,,,,,,,,,,,,,,
27,가: 시계가 오후 다섯 시를 가리키니 이제 퇴근합시다.,"나: 네, 과장님.",,,,,,,,,,,,,,,
28,가: 처녀작이 무슨 뜻이에요?,나: 작가가 처음으로 발표한 작품을 가리키는 말이야.,,,,,,,,,,,,,,,
29,가: 나 또 약속 까먹었어.,나: 너 같은 사람을 가리켜 형광등이라고 하는 거야.,,,,,,,,,,,,,,,
30,가: 아. 달리기를 심하게 했더니 숨을 쉬기 힘들어.,나: 가슴을 펴고 심호흡을 해 봐.,,,,,,,,,,,,,,,
31,가: 가슴에 달린 게 뭐니?,"나: 응, 우리 학교 배지야.",,,,,,,,,,,,,,,
32,가: 남자 친구는 어떤 사람이니?,나: 가슴이 따뜻하고 다정한 사람이야.,,,,,,,,,,,,,,,
33,"가: 할아버지, 시골에 내려가시게요?","나: 응, 서울은 공기가 안 좋아서 가슴이 답답해 못 살겠다.",,,,,,,,,,,,,,,
34,가: 눈에 뭐가 들어간 거 같아.,나: 눈을 여러 번 감았다가 떠 봐.,,,,,,,,,,,,,,,
35,가: 웬 선물이에요?,나: 그동안 제게 잘해 주신 것에 대한 감사의 뜻으로 드리는 거예요.,,,,,,,,,,,,,,,
36,"가: 얘, 너 무슨 걱정이 있니? 표정이 어둡다.",나: 성적표가 나왔는데 지난번보다 등수가 떨어졌어요.,,,,,,,,,,,,,,,
37,가: 너 왜 우니?,나: 학원에 안 갔다고 부모님께 호된 걱정을 들었어요.,,,,,,,,,,,,,,,
38,가: 건강 비결이 따로 있으신가요?,나: 아침마다 가볍게 뛰는 것만으로도 병을 예방할 수 있습니다.,,,,,,,,,,,,,,,
39,가: 회사에는 버스를 타고 다니세요?,나: 아니요. 요즘은 살을 빼려고 걸어서 다닙니다.,,,,,,,,,,,,,,,
40,가: 요즘은 사람들이 인터넷 신문을 많이 보는 것 같아요.,나: 그 때문에 종이 신문은 쇠퇴의 길을 걷기 시작했어요.,,,,,,,,,,,,,,,
41,가: 교사의 길을 걷게 된 계기가 있으십니까?,나: 아무래도 교사를 하셨던 아버지의 영향이 컸어요.,,,,,,,,,,,,,,,
